Sea Level,Filename,Fish Display Name,Size,Weight,Size Category,Description,Artist Credit,Writer Credit,Fish Image Alt Text Description,Speed,Position X,Position X Range,Position Y,Is Static
Middle,SmallFish_LucentFisk_Kismet,Lucent Fisk,0.35m,4.5kg,S,"One of the deepest fish that loves to be in and around coral reefs. They have beautiful scales that light up and magical powers such as, when moving, their body leaves beautiful crystal dust. The lucent fisk really love to hang out around the coral reef because it's easy to find their favorite food, rocks!",Kismet Nightingale,pipioneru (@hy0shiku),"A bright blue fish made of building blocks, what look to be blue-tinged clear pieces are made to look like they’re floating around its fins.",,,,,FALSE
Middle,SmallFish_DeepSeaJellyfish_SiBa,Deep Sea Jellyfish,0.1143m,0.21kg,S,"Deep-sea jellyfish are a beauty to behold, making other fish quite jelly of how they flow through the ocean with their glow, but be careful as these majestic creatures are highly dangerous due to the venom released when they sting! Due to a shard of light armor entering the deep-sea waters, a curious jellyfish ate it, thinking it was another fish, but it gained its properties as the jelly glows a bright blue with a purple gradient on the tip of their tentacles.",SiBa (@saltyrapperc8),Seeby (@stillapotatoyee),"A swimming, Deep-Sea Jellyfish. It has a round body, with a white to blue gradient. It has similarly blue tentacles coming from its bottom. Where the tentacles connect, there are blue shards.",0.5,,,,FALSE
Middle,SmallFish_VampireSquid_P,Vampire Squid,0.3m,0.45kg,S,"Neither an octopus nor a squid, isn't actually bloodsucking, and comes with a pair of large round eyes, the marine snow-feeder vampire squid can be found scavenging the deep, oxygen-minimum zones of the ocean. These cloaked cephalopods appear to have bright blue eyes (actually clear), cannot change color to camouflage, and don't produce any ink for defense. Instead, they have a cool, light-emanating organ that gives them bioluminescence at the tips of their tentacles, like their own light armor!",P,MIMI (@immimisme),"A bright pink Vampire Squid. It has two, floppy fins on the sides of its head. The webbing between its tentacles is a mint green, with its eyes being a similar color.",0.5,,,,FALSE
Bottom,BigFish_Giantsquid_HoneyBunnie,Giant Squid,13m,245kg,L,"Morphologically, the giant squid is quite similar to smaller squids, possessing the same features but on a much grander scale. The diameter of its eyes is one of the largest of all known living animals, falling just short of that of its relative, the colossal squid. It may not be false to call these beings “all-seeing” as the size of their eyes allows them to discern large shapes at distances of over 394 ft/120 m. All the better to see you with, indeed…",HoneyBunnie (@some_bunny_girl),Phe (@phe_mist),A pastel blue giant squid. Pale blue shards float around the conical end of the creature. The tentacles start at the body as a darker pastel blue and then pale to almost white at the tips.,,,,,FALSE
Bottom,BigFish_GiantTubeWorms_irisnoira,Giant Tube Worms,2.29m,0.044kg,L,"Giant tubeworms typically live in massive colonies that thrive in hot, mineral-laden water. This environment is a product of the thermal vents that result from underwater volcanic activity. They’re one of the heaviest animals to thrive in this extreme condition. To protect themselves from predators, their feather-like gills are able to retract into their bodies through sulfur in a process not dissimilar to photosynthesis. Now, would you still love me if I was a giant tubeworm?",irisnoira (@chococattail),olive (@zenneful),"A group of white, noodle-like grouping of creatures, each tipped with a deep red end. A couple of very thin, bright blue fish can be seen swimming among the white stalks.",,,,,FALSE
Bottom,BigFish_MegamouthShark_wiindouw,Megamouth Shark,5m,1215kg,L,"This very rare shark, named for the size of its mouth, is the smallest of the filter-feeding sharks, after the whale and basking sharks. The megamouth shark’s existence was a recent discovery in 1976, thanks to one accidentally becoming entangled in a naval research ship’s anchor northeast of Oahu, Hawai’i. However, its true home waters are unknown; this shark can turn up wherever, whenever when least expected. Needless to say, this makes them incredibly difficult for scientists to study.",wiindouw (@wiindouw_),Brainy (@pinstripedoc),A dark gray shark with glowing blue shards floating around the entirety of its body. What appears to be a dark blue belt is wrapped around the top half of its tail.,,,,,FALSE
Bottom,BigFish_UtopiasForsaken_Fluor,Utopias Forsaken,8m,Unknown,L,Not a fish.,Fluor (@FluorArt),Fluor (@FluorArt),"A black mass that seems to fuzz out of focus around the edges. Arms, tentacles and teeth come out at random intervals and an uncomfortable number of eyes are staring directly at the viewer. This is a creature that cannot exist.",,,,,FALSE
Bottom,BigFish_Quasar_Danboru,Quasar,9m,6500kg,L,"An ancient creature that has been protecting the Elysium seas for centuries, it lives in the deepest parts of the ocean and only ascends when there is a huge threat to the ocean. Parts of it seem to be mechanically powered, and it is able to generate energy constructs on its arms. However, the construction of this creature's body remains a mystery.",Danboru (@danboruart),Chronos (@chronos1719),"A mostly white-blue creature that appears to be made out of large scales. Orange scales that give the appearance of a helmet, chest plate, vambraces, and a waist. Pale blue shields are at the end of each arm.",,,,,FALSE
Bottom,MediumFish_SiphonophoreBConifera_SkylimitA,Siphonophore B Conifera,50m,Unknown,M,"A bunch of sea worms? No, no, these creatures aren't worms. A closer relation of theirs is jellyfish. Each Siphonophore consists of zooids, individual creatures attached together to form a colony. Living in the depths of Elysium waters, one would scarcely get the chance to come across these creatures as an adventurer. Yet, records show that a brave blue hero once ventured below and encountered a larger-than-usual B. conifera. Or as he called it: The Friendly Flying Spaghetti Monster.",Skylimit Art (@SkylimitA),StormfallSails (@StormfallSails),"A jellyfish-like creature that has a yellow core which fades to a greenish-blue on the outer edge. Tentacles are a mixture of chunkier, red and orange protrusions and longer, almost invisible strings. A single string appears above the creature, ending in a small yellow dot.",,,,,FALSE
Bottom,MediumFish_ViperDogfish-TrigonognathusKabeyai_pankoako,Viper Dogfish Trigonognathus Kabeyai,0.53m,0.77kg,M,"The viper dogfish, also called the viper shark, is a unique species of shark found in the Pacific Ocean near Japan, the Bonin Islands, and the Hawaiian Islands. They can swallow fish nearly whole by using their bone and muscle structure to extend their jaws to impale prey on their long teeth. They also have small, venomous spines on their dorsal fins. They often move between water levels, staying in deeper waters during the day and moving to higher waters at night.",pankoako (@pankoako),Mordi (@kingcheckmate_),"A black fish with white fins tipped in back. White stripes appear lengthwise along the body. The mouth is slightly agape with crooked, pin-like teeth and it has a light blue eye.",,,,,FALSE
Bottom,SmallFish_AtollaJellyfish_yukinayee,Atolla Jellyfish,0.24m,0.02kg,S,"The atolla jellyfish is a deep-sea dweller, residing in the ocean’s bathypelagic zone where sunlight does not reach. This jellyfish’s normally red body is camouflaged in these depths, but if threatened, it lights up in a display of bright blue bioluminescence. The flashes of light serve to disorient predators or even attract larger predators that can chase off the attacker. This strategy has given the species the nickname of “alarm jelly.”",yukinayee (@_yukinayee),lighteningsky,A chunky red-orange jellyfish who’s tentacles hang from its midsection. Above the tentacles is a translucent dome that shines blue on top and looks lit with an orange fire on the bottom.,,,,,FALSE
Bottom,SmallFish_Cephalopod_Chambered Nautilus_Amanda_AirArtist,Cephalopod Chambered Nautilus,0.17m,0.91kg,S,"Named after the space traveler who once visited Elysium, the chambered nautilus (Star Keeper in Elysium) is a shy, deep ocean creature known for its effortless buoyancy and gilded coiled shell. Like its namesake, it gracefully glides across its territory using jet propulsion from its tentacles to navigate turns. Thus, if you see it while scuba-diving, observe its delicate movements. Let it eat its prey of fish, crabs, and lobsters. Wish it well as it protects itself in the wide underwater world.  ",Amanda (@Air.Artist on Instagram),Eevee (@eeveetheerin),"A creature resembling if a squid moved into a snail shell. The soft, squid-like portion is white with numerous tentacles floating, the shell is a dark blue striped with white in a tiger pattern. Light blue crystals float above.",,,,,FALSE
Bottom,SmallFish_Xenophyophores_CTS,Xenophyophores,0.11m,0.032kg,S,"According to what people would most commonly think, single-celled organisms like Xenophyphores generally have microscopic sizes. Xenophyophores, of course, are macroscopic anyway because they don’t care what humans think is impossible. These deep sea creatures live primarily on the surface of the ocean floor and build elaborate houses and shells called tests (hopefully, this won’t appear in yours!). They form distinct patterns and can look like fans, brains, or even resemble the Hollow Tree!",CTS (@CTS_1_),Jhe (@chuzuroon),"A tree-like coral whose trunk and branches are a bright, almost neon blue. The ‘leaves’ are a mix of light blue and purple.",,,,,FALSE
Bottom,SmallFish_Hadal Amphipods_AstroMaiacal,Hadal Amphipods,0.08m,0.009kg,S,"These amphipods were discovered in one of the deepest regions of the Peru-Chile Trench back in 2018. As a new species, there is still much to learn. While they are small compared to other creatures of the sea, they are twice the size of their nearest relative, making them a ""giant."" They come in a range of colors, such as white, pink, crimson, or dark red. They play a ""scavenger"" within the trench community, quickly intercepting and distributing any type of food sinking from above.",AstroMaia (@AstroMaiacal),Dhol (@dholwrites),"A brown-colored crustacean-like creature that almost resembles a shrimp. It has a semi-translucent segmented body, multiple pairs of legs, and prominent antennae. ",,,,,FALSE
Bottom,SmallFish_HadalJellyfish_mmmonstruo,Hadal Jellyfish,0.028m,Unknown,S,"The Crossota millsae, or Psychedelic Jellyfish, is a small, brightly coloured jellyfish that dwells in the depths of the ocean. These jellies are classified as plankton, meaning they typically spend the majority of their mostly solitary lives drifting through the ocean instead of actively swimming. Due to their relatively recent discovery and the inhospitable environment they make their home, not much else is known about this species.",mmmonstruo (@mmmonstruo),Boat,An orange jellyfish that’s got spiky tentacles coming out of the bottom of the body. The main body is translucent and seems to have a solid core that resembles a cat’s eye.,,,,,FALSE
Bottom,SmallFish_MarianaSnailfish_Mabopoki,Mariana Snailfish,0.28m,0.16kg,S,"Within the deepest ocean trench in Elysium lives an unassuming creature that looks similar to a tadpole. The Mariana Snailfish has a protruding stomach and skin so clear you can see its internal organs. It belongs to the snailfish species and may be a distant cousin to Snailtare. Like its cousin, the snailfish continue to push boundaries! Unidentified snailfish species were filmed on camera as deep as 8,336 m. (27,349 ft.) and currently hold the record for Elysium’s deepest fish caught in 4k!",Mabopoki (@Mabopoki__00),berrycath (@berrycath),"A long, slender light blue fish with a single fin that begins just behind the head and then wraps around its body much like an eel. Two more normal fins are on the lower portion of the body and a small, pale blue crystal floats near its beady black eye.",,,,,FALSE
Bottom,SmallFish_Seamag_Lambdadelta,Seamag,0.2m,0.45kg,S,"This mutated form of Magmite has become highly adapted to life in the ocean, living peacefully on the seafloor. They enjoy consuming scraps and dead organisms that find their way down there. These Magmites have an excellent sense of smell and can even swim up if they choose to. Though, unlike their original form, these Magmites have developed a toxicity that makes them inedible.",Lambdadelta (@ulambdadelta),Lambdadelta (@ulambdadelta),"A purple magmite with a red underside, golden lines run down its chubby purple limbs. Two small, purple tentacle-like protrusions tipped in red grow out of its backside, while long, back-sweeping antennae can be seen just behind the eyes. ",2.5,,,,FALSE
Bottom,SmallFish_SeaPig_minji,Sea Pig,0.1m,2.5kg,S,"At first glance, this creature looks like a normal Sea Pig, roaming listlessly about the seabed. But upon closer inspection, the bright blue translucent body and charming apparel signal that this little guy is an Altventurer! Perhaps under the influence of Altare having once called them “pigs,” a number of slightly confused slimes morphed into this shape and took to the bottom of the ocean where they gathered in hopes of releasing enough toxins so that anything nearby “learns” to love Altare too!",minji (@minjastars),Kiing (@OusamaXIII),"A slug-like creature that has several leg-like appendages, along with four upward turned tentacles. White crystals float around one side, and something resembling a dark blue belt wraps around its middle. ",,,,,FALSE
